Agitated	Agitado
Follow me	Me siga
You can follow me	Você pode me seguir
I will protect you	Eu vou te proteger
I won't let them hurt,	Não os deixarei ferir
they're hurting you, no	ferir você
Ooh yeah	Ooh yeah
When your heart is breaking	Quando seu coração estiver ruindo
You can follow me	Você pode me seguir
You can follow me	Você pode me seguir
I will always keep you safe	Eu vou sempre te manter à salvo
Follow me	Siga-me
You can trust in me	Você pode confiar em mim
I will always protect you, my love.	Eu sempre vou te proteger, meu amor
Feed	Alimentação
She ran every time	Ela correu toda vez
Met me by the west side	Me encontrou pelo lado oeste
Feeling Good	Sentindo Bem
Birds flying high you know how I feel	Pássaros voando alto, vocês sabem como eu me sinto
Sun in the sky you know how I feel	Sol no céu, você sabe como eu me sinto
Reeds drifting on by you know how I feel	Bambus balançando sozinhos, vocês sabem como eu me sinto
Its a new dawn it's a new day its a new life for me	É um novo amanhecer, é um novo dia e é uma nova vida para mim
And I'm feeling good	E eu estou me sentindo bem
Fish in the sea you know how I feel	Peixe no mar, você sabe como eu me sinto
River running free you know how I feel	Rio correndo solto, você sabe como eu me sinto
Blossom in the trees you know how I feel	Flores nas árvores, vocês sabem como eu me sinto
It's a new dawn its a new day it's a new life for me	É um novo amanhecer é um novo dia e é uma nova vida para mim
And I'm feeling good	E eu estou me sentindo bem
Dragonflies all out in the sun	Libélulas todas soltas no sol
You know what I mean, don't you know	Vocês sabem o que quero dizer, você não sabem?
Butterflies are all having fun	Borboletas todas se divertindo
You know what I mean	Vocês sabem o que quero dizer
Sleep in peace	Dormir em paz
When the day is done	Quando o dia está terminado
And this old world is new world and a bold world for me	E esse velho mundo é um novo mundo e um mundo ousado para mim
Stars when you shine you know how I feel	As estrelas quando brilham, vocês sabem como eu me sinto
Scent of the pine you know how I feel	O aroma do pinheiro, você sabe como eu me sinto
Yeah, freedom is my life	Yeah, liberdade é minha vida
And you know how I feel	E você sabe como eu me sinto
Forameus	Forameus
Our lives at stake	Nossas vidas estão em jogo
I just wanna give it away	Eu só quero desistir
Our lives at stake	Nossas vidas estão em jogo
So let's just sign it away	Então vamos fazer de qualquer jeito
It doesn't matter	Não importa
It doesn't matter	Não importa
It doesn't matter	Não importa
It doesn't matter	Não importa
Falling once again	Caindo mais uma vez
You'll do it anyway	Você vai fazer de qualquer jeito
You do it to me once again	Você vai fazer comigo mais uma vez
You do it to me night and day	Você vai fazer comigo dia e noite
You do it do it all again	Você vai fazer, vai fazer tudo de novo
Ooooooo	Ooooooo
You do it to me once again	Você vi fazer comigo mais uma vez
You do it to me night and day	Você vai fazer comigo dia e noite
You do it do it all again	Você vai fazer, vai fazer tudo de novo
Our lives at stake	Nossas vidas estão em jogo
I just wanna give it away	Eu só quero desistir
And our lives disdain yeah	Nossas vidas estão em desdém yeah
So let's just sign it away	Então vamos fazer de qualquer jeito
It doesn't matter...	Não importa...
It doesn't matter...	Não importa...
It doesn't matter...	Não importa...
It doesn't matter...	Não importa...
Falling once again	Caindo mais uma vez
You'll do it anyway	Você vai fazer de qualquer jeito
You do it to me once again	Você vai fazer comigo mais uma vez
You do it to me night and day	Você vai fazer comigo dia e noite
You do it do it all again	Você vai fazer, vai fazer tudo de novo
Oooo	Oooo
You do it to me once again	Você vai fazer comigo mais uma vez
You do it to me night and day	Você vai fazer comigo dia e noite
You do it do it all again	Você vai fazer, vai fazer tudo de novo
Yeah yeah yeah yeeeeeeeeeeeeeah!!!	Yeah yeah yeah yeeeeeeeeeeeeeah!!!
(sang really fast)	(cantada muito rápido)
You do it to me once again	Você vai fazer comigo mais uma vez
You do it to me night and day	Você vai fazer comigo dia e noite
You do it do it all again	Você vai fazer, vai fazer tudo de novo
You do it to me once again	Você vai fazer comigo mais uma vez
Forced In	Forçado
Push me in	Me empurre pra dentro,
Into greed	Com cobiça,
Force me in	Me force pra dentro,
Into greed	Com cobiça,
Squeeze me in	Me comprima pra dentro,
Into greed	Com cobiça.
Ah ooh	Ah ooh,
Aah ooh	Aah ooh!
Break me in	Quebre-me dentro,
Ah ooh	Ah ooh!
Push me in	Me empurre pra dentro,
Into greed	Com cobiça,
Force me in	Me force pra dentro,
Into greed	Com cobiça,
Fury	Fury
You're so happy now	Você está tão feliz agora
Burning the candle at both ends	Queimando a vela nas duas pontas
Your self loving soothes	Seu amor próprio acalma
And softens the blows you've invented	E amacia as explosões que você inventou
Breathe in deep	Respire fundo
And cleanse away our sins	E purifique-nos de nossos pecados
And we'll pray	E nós iremos orar
That there's no God to punish us	Para que não haja deus para nos punir
And make a fuss	E fazer um escândalo
Cracks healing up	Rachaduras se curando
The future soul forgives this mess	A alma futura perdo e essa bagunça
You waste twenty years	Você perde 20 anos
And wind up alone, demented	E dá corda sozinho, doido
Breathe in deep	Respire fundo
And cleanse away our sins	E purifique-nos de nossos pecados
And we'll pray	E nós iremos orar
That there's no God to punish us	Para que não haja deus para nos punir
And make a fuss	E fazer um escândalo
Breathe in deep	Respire fundo
And cleanse away our sins	E purifique-nos de nossos pecados
And we'll pray	E nós iremos orar
Futurism	Futurismo
Ignorance pulls	A ignorância se arrasta
Apostasy and apathy still rules	Apostacia e indiferença continuam mandando
Yeah you know it's cool	Sim, sabe que é legal
Just suck and see	Só absorva e veja
A future turn us into silent gods	Um futuro nos move para deuses calmos
And I won't miss you at all	E não vou deixar você escapar completamente
Grounded	No chão
Boxed in	Encaixotado
Like the evil in your veins	Como o demônio nas suas veias
Grounded	No chão
Boxed in	Encaixotado
I am stuck with you	Estou preso com você
Fate can't decide	O destino não pode decidir
Alignment of the planets in your hands	O alinhamento dos planetas nas nossas mãos
Come on crush our plans	Venha e reprima nossos planos
Just suck and see	Só absorva e veja
A future that won't let you disagree	Um furuto que não vai te deixar discordar
And I won't miss you at all	E não vou deixar você escapar completamente
Grounded	No chão
Boxed in	Encaixotado
Like the evil in your veins	Como o demônio nas suas veias
Grounded	No chão
Boxed in	Encaixotado
I am stuck with you	Estou preso com você
Get A Grip	Tenha um poder
So happy now	Tão feliz agora
Burning candle burns aims	Queimando velas, acertando alvos
You should probably choose	Você poderia provavelmente escolher
And show fools	E mostrar os bestas
Implores you to dance in	Te implorando pra dançar
You, everything	Você, tudo
Why this?	Por que isso?
Who'll wait what seems	Quem vai esperar o que parece existir
When we'll play	Quando jogarmos?
The eternal time	O tempo infinito
To burn us out?	Nos extingue?
We make it now	Fazemos o agora
Catch me again	Me pegue de novo
The future should forgive the misery	O futuro poderia perdoar a miséria
In these twenty years	Nestes vinte anos
Why what belongs you remained sane?	Por que o que te pertence continua o mesmo?
You, everything	Você, tudo
Why this?	Por que isso?
Who'll wait what seems	Quem vai esperar o que parece existir
When we'll play	Quando jogarmos?
The eternal time	O tempo infinito
To burn us out?	Nos extingue?
We make it now	Fazemos o agora
You, everything	Você, tudo
Why this?	Por que isso?
Who'll wait what seems	Quem vai esperar o que parece existir
When we'll play	Quando jogarmos?
The eternal time	O tempo infinito
Gallery	Galeria
Glorious	Gloriosos
Rose-tinted view	Paisagem levemente colorida de rosa
And satellites that compromise the truth	E satélites que comprometem a verdade
I wanted more	Eu queria uma guerra
With the cuts and the bruises	Com os cortes e os hematomas
Touch my face	Toque meu rosto
A hopeless embrace	Um abraço sem esperança
Faith, it drives me away	Fé, ela me afasta
But it turns me on	Mas me anima
Like a stranger's love	Como um amor estranho
It rockets through the universe	Ela corre pelo universo
It fuels the lies, it feeds the curse	Ela abastece as mentiras, alimenta a maldição
We, too, could be	Nós, também, poderíamos ser
Glorious	Gloriosos
I need to believe	Eu preciso acreditar
But i still want more	Mas ainda quero mais
With the cuts and the bruises	Com os cortes e os hematomas
Don't close the door	Não feche a porta
On what you adore	Na cara daquilo que gosta
Faith, it drives me away	Fé, ela me afasta
But it turns me on	Mas me anima
Like a stranger's love	Como um amor estranho
It rockets through the universe	Ela corre pelo universo
It fuels the lies, it feeds the curse	Ela abastece as mentiras, alimenta a maldição
Guiding Light	Luz Que Me Guia
Impure hearts stumble	Corações impuros cambaleiam
In my hands they crumble	Nas minhas mãos eles se desfazem
And fragile and stripped to the core	Frágeis e profundamente desgastados
I can't hurt you anymore	Eu não posso mais te machucar
Loved by numbers,	Amada por números,
You're losing life's wonder	Estás perdendo o lado maravilhoso da vida
Touch like strangers detached	Nós tocamos como estranhos separados
I can't feel you anymore	Eu não posso mais te sentir
There's sunshine trapped in our hearts	A luz do sol está presa em nossos corações
It could rise again	Ela poderia brilhar novamente
But I'm lost, and crushed, and cold, and confused	Mas eu estou perdido, destruído, frio e confuso
With no guiding light left inside	Sem luz guia aqui dentro para me guiar
You were my guiding light	Eras a luz que me guiava
And comfort and warmth can't be found	Não encontro conforto e aconchego
I still reach for you	E eu ainda procuro por ti
But I'm lost, and crushed, and cold, and confused	Mas estou perdido, destruído, frio e confuso
With no guiding light left inside	Sem qualquer luz aqui dentro para me guiar
You're my guiding light	Tu és a luz que me guia
You're my guiding light	Tu és a luz que me guia
Hate This And I'll Love You	Odeie Isso e Vou Te Amar
Oh I am growing tired	Oh, estou me cansando
Of allowing you to steal	De deixar você roubar
Everything I have	Tudo que eu tenho
You're making me feel	Você me faz sentir
Like I was born to service you	Como se eu tivesse nascido pra te servir
But I am growing by the hour	Mas estou crescendo antes da hora
You left us far behind	Você nos deixou para trás
So we all discard our souls	Assim nós todos descartamos nossas almas
And blaze through your skies	E brilhando através de seus céus
so unafraid to die	Tão sem medo de morrer
Cos I was born to destroy you	Porque eu nasci pra te destruir
And I am growing by the hour	E estou crescendo antes da hora
And I'm getting strong in every way	E estou ficando forte em todos os modos
Yeah yeah	Sim, sim
Yeah yeah	Sim, sim
ooooohhhhhhh	ooooooohhhhhhhhhhh
Hoodoo	Hoodoo
Come into my life	Entre em minha vida
Regress into a dream	Retorne dentro de um sonho
We will hide	Nós nos esconderemos
Build a new reality	Construa uma nova realidade`
Draw another picture	Faça outro desenho
Of a life you could have had	Da vida que você poderia ter vivido
Follow your instincts	Siga seus instintos
And choose the other path	E escolha outro trajeto
You should never be afraid	Você nunca deveria sentir medo
You're protected	Você está protegida
From trouble and pain	De confusões e dor
Why, why is this a crisis	Porque há uma crise
In your eyes again?	Em seus olhos novamente?
Come to be	Vem á ser
How did it come to be?	Como isso veio a ser?
Tied to a railroad	Amarrado a um trilho de trem
No love to set us free	Nenhum amor para nos libertar
Watch our souls fade away	Assista nossas almas indo embora
And our bodies crumbling	E nossos corpos se esfarelando
Don't be afraid	Não tenha medo
I will take the blow for you	Eu tomarei o golpe por você
And i've had recurring nightmares	E eu estive pesadelos repetidos
I was loved for who i am	Eu era amado pelo que eu era
Host	Multidão
I've read you well	Te interpretei bem
I just want to get away	Só quero ir embora
Cos you used my love	Porque você usou meu amor
I just need to get away	Só preciso ir embora
My trust in you has been abused	Minha confiança em você foi mal usada
My trust in you has been overused	Minha confiança em você foi usada excessivamente
Sick of this space	Cansado deste espaço
Wish we could be far away	Gostaria que pudessemos estar bem longe
Cos I wasted all my youth	Porque perdi toda a minha juventude
I'll never see it again	Nunca verei-a novamente
My trust in you has been abused	Minha confiança em você foi mal usada
My trust in you has been overused	Minha confiança em você foi usada excessivamente
Kill you everything	Mate tudo
Cause you've bled me dry now	Porque você tirou meu sangue até acabar
I just wanna run away	Eu só quero fugir
Cause you've bled me dry now	Porque você tirou meu sangue até acabar
I just wanna run away	Eu só quero fugir
I just wanted too much	Só quero uma outra coisa
I wish we could be far away	Gostaria que pudessemos estar bem longe
Hysteria	Histeria
It's bugging me	Isso está me aborrecendo
Grating me	Me irritando
And twisting me around	E me confundindo
Yeah, I'm endlessly	Sim, eu estou infinitamente
Caving in	Desmoronando
And turning inside out	E virando do avesso
'Cause I want it now	Porque eu quero agora
I want it now	Eu quero agora
Give me your heart and your soul	Me dê seu coração e sua alma
And I'm breaking out	E estou me libertando
I'm breaking out	Estou me libertando
Last chance to lose control	Última chance para perder o controle
Yeah, it's holding me	Sim, isso está me envolvendo
Morphing me	Me modificando
And forcing me to strive	E me obrigando a lutar
To be endlessly	Para estar infinitamente
Cool within	Frio por dentro
And dreaming I'm alive	E sonhando que estou vivo
'Cause I want it now	Porque eu quero agora
I want it now	Eu quero agora
Give me your heart and your soul	Me dê seu coração e sua alma
I'm not breaking down	Não estou desmoronando
I'm breaking out	Estou me libertando
Last chance to lose control	Última chance para perder o controle
And I want you now	E eu te quero agora
I want you now	Eu te quero agora
I feel my heart implode	Eu sinto meu coração implodir
And I'm breaking out	E estou me libertando
House Of The Rising Sun	A Casa do Sol Nascente
There is a house in New Orleans	Há uma casa em New Orleans.
They call the Rising Sun	Eles a chamam de 'Sol Nascente'.
And it's been the ruin of many poor boy	E tem sido a ruína de muitos garotos pobres
And God, I know I'm one	E Deus, eu sei que sou um.
Oh, Mother, tell your children	Oh mãe, diga as suas crianças,
Not to do what I have done	para não fazerem o que eu fiz.
Oh yeah, spend your lifes in sin and misery	Desperdiçar suas vidas em pecado e miséria
In the house of the Rising Sun	Na casa do Sol Nascente.
Well, there is a house in New Orleans	Bem, há uma casa em New Orleans.
They call the Rising Sun	Eles a chamam de 'Sol Nascente'.
Hungry Like The Wolf	Faminto como um lobo
Dark in the city night is a wire	Escuro na noite da cidade é um fio
Steam in the subway earth is afire	Vapor no metrô terra está em chamas
Do do do do do do do dodo dododo dodo	Do do do dodo dododo dodo
Woman you want me give me a sign	Mulher que você quer que eu me dê um sinal
And catch my breathing even closer behind	E pegar minha respiração ainda mais perto
Do do do do do do do dodo dododo dodo	Do do do dodo dododo dodo
In touch with the ground	Em contato com o solo
I'm on the hunt down I'm after you	Eu estou na caça Eu estou atrás de você
Smell like I sound I'm lost in a crowd	Cheira como se eu estivesse perdido em uma multidão
And I'm hungry like the wolf	E eu estou com fome como o lobo
Straddle the line in discord and rhyme	Atravessar a linha em discórdia e rima
I'm on the hunt down I'm after you	Eu estou na caça Eu estou atrás de você
Mouth is alive with juices like wine	Boca está viva com sucos como vinho
And I'm hungry like the wolf	E eu estou com fome como o lobo
Stalked in the forest too close to hide	Perseguido na floresta perto demais para se esconder
I'll be upon you by the moonlight side	Eu estarei ao seu lado ao lado do luar
Do do do do do do do dodo dododo dodo	Do do do dodo dododo dodo
High blood Drumming on your skin it's so tight	Sangue alto Rufando na sua pele, é tão apertado
You feel my heat I'm just a moment behind	Você sente meu calor Estou apenas um momento atrás
Do do do do do do do dodo dododo dodo	Do do do dodo dododo dodo
In touch with the ground	Em contato com o solo
I'm on the hunt down I'm after you	Eu estou na caça Eu estou atrás de você
Scent and a sound. I'm lost and I'm found	Perfume e um som. Estou perdida e sou encontrada
And I'm hungry like the wolf	E eu estou com fome como o lobo
Strut on a line it's discord and rhyme	Strut em uma linha é discórdia e rima
I howl and I whine I'm after you	Eu uivo e lamento depois de você
Mouth is alive all running inside	Boca está viva toda correndo dentro
And I'm hungry like the wolf	E eu estou com fome como o lobo
Hungry like the wolf	Faminto como um lobo
Hungry like the wolf	Faminto como um lobo
Hungry like the wolf	Faminto como um lobo
Burning the ground I break from the crowd	Queimando o chão, eu me quebro da multidão
I'm on the hunt down I'm after you	Eu estou na caça Eu estou atrás de você
I smell like I sound. I'm lost and I'm found	Eu sinto o cheiro que pareço. Estou perdida e sou encontrada
And I'm hungry like the wolf	E eu estou com fome como o lobo
Strut on a line it's discord and rhyme	Strut em uma linha é discórdia e rima
I'm on the hunt down I'm after you	Eu estou na caça Eu estou atrás de você
Get Up And Fight	Levante-se e Lute
What we have's the only thing worth fighting for	O que temos é a única coisa pela qual vale a pena lutar
And I, I won't let nothing keep us apart	E eu, eu não vou deixar nada nos separar
Through these fallouts there is	Através dessas consequências há
A truth and pain but through it all	Uma verdade e dor, mas através de tudo
You will always have my heart	Você sempre terá meu coração
I see a change on the horizon	Eu vejo uma mudança no horizonte
Reasons to be frightened	Razões para ter medo
I know that we can pull through	Eu sei que podemos aguentar
I am here to tell you	Eu estou aqui para te dizer
Get up and fight	Levante-se e lute
Get up and fight	Levante-se e lute
I can't do this thing without you	Eu não posso fazer isso sem você
I'm lost in this without you	Estou perdido nisso sem você
Get up and fight	Levante-se e lute
We've gotta get up and fight	Nós temos que nos levantar e lutar
I can't handle this without you	Eu não posso lidar com isso sem você
Can't do it without you	Não pode fazer isso sem você
In our heads, a million voices scream and shout	Em nossas cabeças, um milhão de vozes gritam e gritam
And no one will ever hear a sound	E ninguém nunca ouvirá um som
Oh, only you can hush it	Ah, só você pode ficar quieto
And calm the turmoil and the noise	E acalme o tumulto e o barulho
And help me reach the higher ground	E me ajude a alcançar o terreno mais alto
I see a change on the horizon	Eu vejo uma mudança no horizonte
Reasons to be frightened	Razões para ter medo
There's nothing we can't get through	Não há nada que não possamos passar
I am here to tell you	Eu estou aqui para te dizer
To get up and fight	Para se levantar e lutar
Get up and fight	Levante-se e lute
I can't do this thing without you	Eu não posso fazer isso sem você
I'm lost in this without you	Estou perdido nisso sem você
Get up and fight	Levante-se e lute
We've gotta get up and fight	Nós temos que nos levantar e lutar
I can't handle this without you	Eu não posso lidar com isso sem você
Can't do it without you	Não pode fazer isso sem você
Get up and fight	Levante-se e lute
Get up and fight	Levante-se e lute
I can't do it without you	Eu não posso fazer isso sem você
Get up and fight	Levante-se e lute
Get up and fight	Levante-se e lute
I can't do this thing without you	Eu não posso fazer isso sem você
I'm lost in this without you	Estou perdido nisso sem você
Get up and fight	Levante-se e lute
We've gotta get up and fight	Nós temos que nos levantar e lutar
I can't handle this without you	Eu não posso lidar com isso sem você
Can't do it without you	Não pode fazer isso sem você
Hyper Music	Música Excitante
Your golden lights feed my role	Suas luzes de ouro alimentam a minha função
In this forgotten space race under my control	Neste espaço esquecido percorre sob meu controle
Who's returned from the dead?	Quem retornou dos mortos?
Who remains?	Quem permanece? (só pra cuspir na sua cara)
(Just to spit it in your face)	Sabe que eu não te quero e nunca quis
You know that I don't want you and I never did	Não te quero e nunca vou te querer
I don't want you and I never will	Você quer ir mais longe do que eu valia
You wanted more than I was worth	E acha que eu estava com medo
And you think I was scared, yeah, and you needed proof	E você precisava de provas
Who really cares anymore?	Quem realmente se importa mais?
Who restrains?	Quem domina (só pra cuspir na sua cara)?
(Just to spit it in your face)	Sabe que eu não te amo e nunca te amei
Hyper Chondriac Music	Hyper Chondriac Music
Your golden lies feed my role	Seus céus dourados alimentam a minha parte
In this forgotten space race under my control	Neste espaço esquecido percorre sob meu controle
Who's returned from the dead?	Quem voltou dos mortos?
Who remains?	Quem permaneceu?
You know I don't want you	Você sabe que eu não te quero
And I never did	E eu nunca quis
I don't want you	Eu não te quero
And I never will	E nunca vou querer
You wanted more than I was worth	Você queria mais do que eu valia
And you think I was scared, yeah	Você acha que eu estava com medo
And you needed proof	E você precisava de provas
Who really cares anymore?	Quem realmente se importa mais?
Who restrains?	Quem domina?
You know I don't love you	Você sabe que eu não te amo
And I never did	E eu nunca amei
I Belong To You (Mon Cœur S'ouvre À Ta Voix)	Eu Pertenço a Você (Meu Coração Se Abre À Sua Voz)
Woo!	Woo
When these pillars get pulled down	Quando esses pilares desmoronarem
It will be you who wears the crown	Você quem será coroada
And I'll owe everything to you	E eu deverei tudo à você
How much pain has cracked your soul?	Quanta dor feriu sua alma?
How much love would make you whole?	Quanto amor te completaria?
You're my guiding lightning strike	Você é o relâmpago que me guia
I can't find the words to say	Eu não consigo encontrar palavras pra dizer
They're overdue	Elas estão ultrapassadas
I'd travel half the world to say	Eu viajaria meio mundo pra dizer
"I belong to you"	"Eu pertenço a você"
Then she attacks me like a Leo	E ela me ataca como um leopardo
When my heart is split like Rio	Quando meu coração está dividido como Rio
And I assure you my debts are real	E eu lhe asseguro que os meus débitos são reais
I can't find the words to say	Eu não consigo encontrar palavras pra dizer
When I'm confused	Quando eu estou confuso
I travel half the world to say	Eu viajo meio mundo pra dizer
"You are my muse"	"Você é minha musa"
[Mon Cœur S'ouvre à ta Voix]	[Meu coração se abre a sua voz]
Ah! Réponds,	Ah! Responda,
Réponds à ma tendresse	Responda à minha ternura
Verse-moi, verse-moi l'ivresse!	Derrame sobre mim, derrame sobre mim essa embriaguez
Réponds à ma tendresse!	Responda à minha ternura
Réponds à ma tendresse!	Responda à minha ternura
Ah! Verse-moi l'ivresse!	Ah! Derrame sobre mim essa embriaguez
I belong	Eu pertenço
I belong to you	Eu pertenço a você
Woo!	Woo
I can't find the words to say	Eu não consigo encontrar palavras pra dizer
They're overdue	Elas estão ultrapassadas
Instant Messenger	Mensagem Instantânea
"You've got post"	"Você tem uma mensagem"
It's gonna be OK	Vai ficar tudo OK
Can't afford another day	Não posso me dar ao luxo de outro dia
At 50 bytes per second	A 50 bytes por segundo
I've never seen your face	Nunca vi seu rosto
I've never heard your voice	Nunca ouvi sua voz
But I think I like it	Mas acho que eu gosto disso
When you instant message me	Quando me manda uma mensagem instantânea
With a promise	Com uma promessa
I can feel it	Posso senti-la
I can tell your gonna be	Posso lhe dizer que você vai ficar
Just like a...	Como uma...
My eyes are gone a strain my heart is feeling pain	Meus olhos estão ficando pesados, meu coração está doendo
At 50 beats per second	A 50 batidas por segundo
I've never see your eyes	Nunca vi seus olhos
I've never heard your lies	Nunca ouvi suas mentiras
But I think I like it	Mas acho que gosto disso
When you instant message me with a promise	Quando você me manda uma mensagem instantânea com uma promessa
I can feel it	E posso senti-la
I can tell your gonna be	Posso lhe dizer que você vai ficar
Just like a ...	Como uma...
Just like a ...	Como uma...
You say	Você diz
Interlude	Interlúdio
Intro	Intro
In Your World	No seu mundo
I'm hurting you again	Eu estou te ferindo novamente
Too lonely to pretend	Solitário demais para fingir
Like everything is new	Que tudo é novo
I promise you to	Eu te prometo que
Blow it all away	Mandarei tudo pelos ares
In your world	No seu mundo
No one is crying alone	Ninguém está chorando sozinho
In your world	No seu mundo
No one is dying alone	Ninguém está morrendo sozinho
Too broken to be loved	Machucado demais para ser amado
Too weak to sing along	Fraco demais para continuar cantando
I'll confort you my friend	Eu vou te confortar, meu amigo
Helping you to	Ajudando você a
Blow it all away	Mandar tudo pelos ares
In your world	No seu mundo
No one is crying alone	Ninguém está chorando sozinho
Jigsaw Memory	Jigsaw Memory
Say you lose something	Diga que você perde algo
Invincible	Invencíveis
Follow through	Siga em frente
Make your dreams come true	Faça nossos sonhos se realizarem
Don't give up the fight	Não desista da luta
You will be alright	Você ficará bem
'Cause there's no one like you	Porque não há ninguém como você
In the universe	No universo
Don't be afraid	Não tenha medo
Of what you're mind conceals	Do que a sua mente esconde
You should make a stand	Você deveria resistir
Stand up for what you believe	Resistir pelo que você acredita
And tonight we can truly say	E essa noite nós poderemos verdadeiramente dizer
Together we're invincible	Que juntos, somos invencíveis
And during the struggle	E durante a batalha,
They will pull us down	Eles irão nos rebaixar
But please, please let's use this chance to	Mas por favor, por favor, vamos usar essa chance para
Turn things around	Reverter as coisas
And tonight we can truly say	E essa noite nós poderemos verdadeiramente dizer
Together we're invincible	Que juntos, somos invencíveis
Do it on your own	Faça isso por si mesmo
It makes no difference to me	Não faz diferença pra mim
What you leave behind	O que você deixa pra trás,
And what you choose to be	O que você escolhe ser
And whatever they say	E qualquer coisa que disserem
Your soul's unbreakable	Sua alma é inquebrável
And during the struggle	E durante a batalha,
They will pull us down	Eles irão nos rebaixar
But please, please let's use this chance to	Mas por favor, por favor,
Turn things around	Vamos usar essa chance para reverter as coisas
And tonight we can truly say	E essa noite nós poderemos verdadeiramente dizer
Together we're invincible	Que juntos, somos invencíveis
Together we're invincible	Juntos, somos invencíveis
And during the struggle	E durante a batalha,
They will pull us down	Eles irão nos rebaixar
Please, please let's use this chance to	Mas por favor, por favor,
Turn things around	Vamos usar essa chance para reverter as coisas
And tonight we can truly say	E essa noite nós poderemos verdadeiramente dizer
Jimmy Kane	Jimmy Kane
Jimmy Kane can't sleep at night	Jimmy Kane não consegue dormir a noite
Sex in pain	O sexo como dor
Keeps me alive	Me mantém vivo
You can't confuse yourself	Você não pode se confundir
They make you know what else	Eles te fazem saber muito mais
You can't fake it	Você não pode fingi-lo
You will never make it	Você nunca vai fazê-lo
You can't confuse yourself	Você não pode se confundir
They make you know what else	Eles te fazem saber muito mais
You can't fake it	Você não pode fingi-lo
You will never make it	Você nunca vai fazê-lo
Yeah	Yeah
You're to blame	Você se culpa
For everything	Por tudo
Sex in pain	O sexo como dor
Keeps moving me	Me mantém em movimento
Keeps me	Me mantém
You can't confuse yourself	Você não pode se confundir
They make you know what else	Eles te fazem saber muito mais
You can't fake it	Você não pode fingi-lo
You will never make it	Você nunca vai fazê-lo
You can't confuse yourself	Você não pode se confundir
They make you know what else	Eles te fazem saber muito mais
You can't fake it	Você não pode fingi-lo
[JFK]	[JFK]
For we are opposed around the world	Para nos opormos ao redor do mundo
By a monolithic and ruthless conspiracy	Por uma conspiração monolítica e impiedosa
That relies primarily on covert means	Isso depende principalmente de encobrir os meios
For expanding its sphere of influence	Para expandir sua esfera de influência
On infiltration instead of invasion	Em infiltração, em vez de invasão
On subversion instead of elections	Em subversão, em vez de eleições
On intimidation instead of free choice	Em intimidação, em vez de liberdade de escolha
On guerrillas by night instead of armies by day	Em guerrilheiros na noite, em vez de exércitos no dia
It is a system which has conscripted	É um sistema que tem recrutado
Vast human and material resources	Recursos humanos e materiais vastos
Into the building of a tightly knit	Para a construção de uma coesa
Highly efficient machine that combines military, diplomatic	Máquina altamente eficiente que combina militarismo, diplomacia
Intelligence, economic, scientific and political operations	Inteligência, economia e operações políticas e científicas
Its preparations are concealed, not published	Suas preparações são escondidas, não publicadas
Lies	Mentiras
Faster, faster, you won't go far	Mais rápido, mais rápido, você não vai longe
Shouldn't leave, feeling faint, we both know why	Não deve sair, sentindo-se fraco, nós dois sabemos porque
You got to show me, both knees, cold I lie	Você tem que me mostrar, ambos os joelhos, frio eu minto
Hold me, slowly, hide me, 'til I can fight	Segure-me, lentamente, me esconda, até eu poder lutar
Always, we can sing, we can make time	Sempre podemos cantar, podemos fazer o tempo
Old songs, flood and flame, you could be mine	Canções antigas, inundações e chamas, você poderia ser meu
But you got to show me, both knees, skin and bone	Mas você tem que me mostrar, ambos os joelhos, pele e osso
Clothe me, throw me, move me	Me vista, me jogue, me mova
'Til I can sell you lies	Até eu poder te vender mentiras
You can't get enough	Você não consegue o suficiente
Make a true believer of	Faça um verdadeiro crente de
Anyone, anyone, anyone	Alguém, qualquer um, qualquer um
I can call you up	Posso ligar para você
If I feel low	Se eu me sentir baixo
I can feed your dirty mind	Eu posso alimentar sua mente suja
Like I know, like I know what you want	Como eu sei, como eu sei o que você quer
Icon of symmetry, swallowing sides	Ícone de simetria, engolindo lados
Fall down in front of me, follow my eyes	Caia na minha frente, siga meus olhos
But I got to see you moving, waste no time	Mas eu tenho que ver você se mexendo, não perca tempo
Teach me, make me holy	Ensina-me, faz-me santo
'Til I can sell you lies	Até eu poder te vender mentiras
You can't get enough	Você não consegue o suficiente
Make a true believer of	Faça um verdadeiro crente de
Anyone, anyone, anyone	Alguém, qualquer um, qualquer um
I can call you up	Posso ligar para você
If I feel low	Se eu me sentir baixo
I can feed your dirty mind	Eu posso alimentar sua mente suja
Like I know, like I know what you want	Como eu sei, como eu sei o que você quer
Anyone, anyone, anyone	Alguém, qualquer um, qualquer um
Anyone, anyone, anyone	Alguém, qualquer um, qualquer um
Like I know, like I know what you want	Como eu sei, como eu sei o que você quer
Like I know, like I know what you want	Como eu sei, como eu sei o que você quer
I can sell you lies	Eu posso te vender mentiras
You can't get enough	Você não consegue o suficiente
Make a true believer of	Faça um verdadeiro crente de
Anyone, anyone, anyone	Alguém, qualquer um, qualquer um
I can call you up	Posso ligar para você
If I feel low	Se eu me sentir baixo
Knights Of Cydonia	Cavaleiros de Cydonia
Come ride with me	Venha cavalgar comigo
Through the veins of history	Através das veias da história
I'll show you a god	Irei lhe mostrar um Deus
Who falls asleep on the job	Que adormece no trabalho
And how can we win	E como nós podemos vencer
